"district","village"
"Sisattanak","103 hospital"
"Xaythany","19 km"
"Xaythany","21 km"
"Xaythany","27km"
"Xaythany","36 km"
"Xaythany","36km"
"Sikhottabong","akard"
"Sikhottabong","Akard"
"Sikhottabong","Akat"
"Hadxaifong","amone"
"Sisattanak","amone"
"Xaysetha","amone"
"Xaysetha","Amone"
"Naxaithong","angnamhoum"
"Naxaithong","Angnamhoum"
"Chanthabuly","anou"
"Xaythany","audomfan"
"Xaythany","Audompon"
"Chanthabuly","AV hotel"
"Hadxaifong","B"
"Naxaithong","B"
"Chanthabuly","B. Bonangoua"
"Sisattanak","banfaiy"
"Xaythany","banhai"
"Xaythany","banna"
"Chanthabuly","Bonangoua"
"Hadxaifong","bor o"
"Xaysetha","borlao"
"Xaysetha","borlek"
"Xaythany","borlek"
"Chanthabuly","Bornangua"
"Naxaithong","Boua"
"Sisattanak","buengkhayong"
"Xaythany","chalernxay"
"Xaythany","Changsavang"
"Chanthabuly","chansavang"
"Sikhottabong","chansavang"
"Xaysetha","chansavang"
"Sikhottabong","Chansavang"
"Hadxaifong","chiempang"
"Sisattanak","chomchaeng"
"Sikhottabong","chomjaeng"
"Sisattanak","chomjaeng"
"Sisattanak","Chomjaeng"
"Xaysetha","chommany"
"Xaythany","chommany"
"Chanthabuly","Chommany"
"Xaysetha","Chommany"
"Chanthabuly","Chommany Neua"
"Xaysetha","Chommany Neua"
"Xaysetha","Chommany Tai"
"Xaysetha","chommany temple"
"Xaysetha","Chommany temple"
"Xaysetha","chommanykang"
"Xaysetha","chommanynuea"
"Xaysetha","chommanytai"
"Xaysetha","chommanytai temple"
"Xaysetha","chommnay"
"Sisattanak","chomphet"
"Sisattanak","Chomphet"
"Sisattanak","chomphettai"
"Sisattanak","Chomphettai"
"Xaysetha","chomsi"
"Xaysetha","Chomsy"
"Hadxaifong","chomthong"
"Hadxaifong","Chomthong"
"Chanthabuly","chormany"
"Xaysetha","Chormmany"
"Sisattanak","Chormphetneua"
"Xaythany","dansang"
"Naxaithong","dansi"
"Naxaithong","Dansi"
"Naxaithong","danxang"
"Pakngeum district","danxang"
"Xaythany","danxang"
"Xaythany","Danxang"
"Sikhottabong","darnkham"
"Chanthabuly","Dondeng"
"Hadxaifong","Dondou"
"Xaythany","donedaeng"
"Chanthabuly","Donedeng"
"Hadxaifong","donedou"
"Hadxaifong","Donedou"
"Hadxaifong","donefaiy"
"Hadxaifong","Donefaiy"
"Pakngeum district","donehai"
"Sikhottabong","donekeo"
"Hadxaifong","donekhaxai"
"Hadxaifong","Donekhaxaiy"
"Sisattanak","donekhoy"
"Sisattanak","donekoy"
"Xaysetha","donekoy"
"Sisattanak","Donekoy"
"Xaythany","doneloum"
"Sisattanak","doneloy"
"Sisattanak","donenokkhoum"
"Sisattanak","Donenokkhoum"
"Sisattanak","donenokkhoun"
"Sisattanak","donenokkhum"
"Xaysetha","donenoun"
"Xaythany","donenoun"
"Xaythany","Donenoun"
"Xaythany","donenoun temple"
"Sisattanak","donepamai"
"Pakngeum district","donesangphai"
"Xaythany","donetiew"
"Pakngeum district","donexangphai"
"Xaythany","dong"
"Xaythany","dongbakkhaiy"
"Xaythany","dongbang"
"Naxaithong","dongbong"
"Naxaithong","Dongbong"
"Xaythany","Dongboutdee"
"Xaythany","dongbung"
"Xaythany","Dongbung"
"Sisattanak","dongdok"
"Xaysetha","dongdok"
"Xaythany","dongdok"
"Xaythany","Dongdok"
"Hadxaifong","dongkalao"
"Sikhottabong","dongkalao"
"Sikhottabong","Dongkalao"
"Xaysetha","dongkhamsang"
"Hadxaifong","dongkhamxang"
"Hadxaifong","Dongkhamxang"
"Hadxaifong","dongkhaxang"
"Xaysetha","dongkhuay"
"Xaythany","dongkhuay"
"Sisattanak","dongkoy"
"Sikhottabong","dongluang"
"Naxaithong","Dongluang"
"Xaythany","dongmakkhaiy"
"Xaythany","Dongmakkhaiy"
"Xaythany","dongmarkkhaiy"
"Chanthabuly","Dongmiang"
"Chanthabuly","Dongmieng"
"Xaythany","dongnakhuay"
"Sikhottabong","dongnasok"
"Sikhottabong","Dongnasok"
"Sikhottabong","dongnasoknuea"
"Sikhottabong","Dongnasoknuea"
"Sikhottabong","Dongnasoktai"
"Chanthabuly","dongnathong"
"Sikhottabong","dongnathong"
"Sikhottabong","Dongnathong"
"Chanthabuly","Dongpalab"
"Chanthabuly","Dongpalaep"
"Sisattanak","dongpalan"
"Sisattanak","Dongpalan"
"Sisattanak","dongpalantha"
"Sisattanak","dongpalanthong"
"Chanthabuly","Dongpalep"
"Hadxaifong","Dongphohae"
"Hadxaifong","Dongphonelao"
"Hadxaifong","Dongphonhair"
"Hadxaifong","Dongphonhlao"
"Hadxaifong","dongphonlao"
"Hadxaifong","Dongphonlao"
"Hadxaifong","dongphosy"
"Hadxaifong","Dongphosy"
"Hadxaifong","Dongphosy Temple"
"Xaythany","dongsanghin"
"Pakngeum district","dongsarngpai"
"Sisattanak","dongsavad"
"Sisattanak","dongsavard"
"Sisattanak","Dongsavard"
"Xaysetha","Dongsavath"
"Xaythany","Dongxanghin"
"Naxaithong","dongxiangdy"
"Naxaithong","dongxiengdy"
"Naxaithong","Dongxiengdy"
"Xaysetha","dongyai"
"Hadxaifong","Donkhasaiy"
"Xaysetha","Donkoy"
"Xaysetha","Donngiew"
"Xaythany","Donnoun"
"Xaythany","Dontil"
"Xaysetha","doung"
"Xaysetha","Doung"
"Xaysetha","Doungkang"
"Naxaithong","elai"
"Sisattanak","faiy"
"Sisattanak","french ambassy"
"Sisattanak","french embassy"
"Chanthabuly","funky monkey hotel"
"Hadxaifong","Haddonkeo"
"Hadxaifong","Hadsaykhao"
"Pakngeum district","hai"
"Xaythany","hai"
"Xaythany","Hai"
"Xaysetha","haikham"
"Xaysetha","Haikham"
"Sisattanak","haiysok"
"Chanthabuly","Haiysok"
"Xaythany","Halkeing"
"Hadxaifong","harddoneheo"
"Hadxaifong","hardkunza"
"Hadxaifong","hardsaiykhao"
"Sisattanak","hardsaiykhao"
"Hadxaifong","Hardsaiykhao"
"Hadxaifong","hardxaikhao"
"Chanthabuly","Hautsadee"
"Chanthabuly","Haysok"
"Sangthong","hinherp"
"Sangthong","hinsiew"
"Hadxaifong","homtai"
"Xaysetha","honghae"
"Xaysetha","hongkae"
"Xaysetha","Hongkae"
"Chanthabuly","Hongkaikeo"
"Chanthabuly","hongkaithong"
"Chanthabuly","Hongkaithong"
"Chanthabuly","Hongkha"
"Chanthabuly","Hongkhar"
"Xaysetha","Hongngua"
"Chanthabuly","Hongsaeng"
"Xaysetha","Hongsoupharb"
"Xaysetha","hongsoupharp"
"Xaysetha","Hongsoupharp"
"Chanthabuly","Hongxeng"
"Hadxaifong","horm"
"Hadxaifong","Horm"
"Hadxaifong","hormtai"
"Xaythany","houa"
"Xaysetha","houakhoua"
"Xaysetha","houakhua"
"Xaysetha","Houakhua"
"Hadxaifong","houala"
"Naxaithong","houana"
"Pakngeum district","houana"
"Xaythany","houana"
"Xaythany","houaxieng"
"Xaythany","houaydanmueang"
"Xaythany","Houaydanmueang"
"Sangthong","houayhang"
"Xaythany","houayhong"
"Naxaithong","houaynamy"
"Naxaithong","houaynamyen"
"Pakngeum district","houaynamyon"
"Chanthabuly","houayong"
"Xaythany","houaytery"
"Xaythany","Houaytery"
"Xaythany","houayxieng"
"Sangthong","houayyang"
"Chanthabuly","Houy"
"Sikhottabong","houyhom"
"Chanthabuly","Houyhong"
"Naxaithong","houynamyen"
"Hadxaifong","huaha"
"Sikhottabong","Huaiyhom"
"Naxaithong","Huakhua"
"Xaythany","huana"
"Xaythany","Huana"
"Xaythany","Huaxieng"
"Xaythany","Huaydaenmeuang"
"Chanthabuly","Huayhong"
"Naxaithong","Huaynamyen"
"Chanthabuly","impaeng"
NA,"indian ambassy"
"Hadxaifong","jiambang"
"Sisattanak","jinaiymo"
"Sisattanak","jomjaeng"
"Sisattanak","Jomphet"
"Sisattanak","jomphetneu"
"Hadxaifong","Jomthong"
"Hadxaifong","kaengpayang"
"Hadxaifong","Kaengpayarng"
"Hadxaifong","kaengyang"
"Hadxaifong","Kaengyang"
"Hadxaifong","Kang"
"Bolikhamxay","Kao"
"Sisattanak","kaognot"
"Sisattanak","Kaognot"
"Sikhottabong","kaoliao"
"Sikhottabong","Kaoliao"
"Hadxaifong","karng"
"Xaythany","Khaengkai"
"Xaysetha","Khamgnoy"
"Xaythany","khamhoung"
"Xaythany","Khamhoung"
"Xaythany","khamhung"
"Sisattanak","khamngoy"
"Xaysetha","khamngoy"
"Xaythany","khamngoy"
"Xaythany","Khamngoy"
"Chanthabuly","khamsavad"
"Sisattanak","khamsavard"
"Xaysetha","khamsavard"
"Xaythany","khamsavard"
"Xaysetha","Khamsavard"
"Xaysetha","Khamsavath"
"Chanthabuly","khamvongsa hotel"
"Xaysetha","kharmngoy"
"Xaysetha","Kharmngoy"
"Sisattanak","khoknin"
"Xaysetha","khoknin"
"Sisattanak","Khoknin"
"Xaythany","khoknoy"
"Xaythany","Khoknoy"
"Sangthong","khokpherng"
"Xaythany","khoksaard"
"Xaythany","Khoksaarth"
"Hadxaifong","khoksaiy"
"Hadxaifong","Khoksaiy"
"Xaythany","khoksavang"
"Xaythany","Khoksavang"
"Hadxaifong","Khoksay"
"Xaythany","khoksivilay"
"Xaythany","Khoksivilay"
"Xaythany","khokyai"
"Xaythany","Khotsombath"
"Chanthabuly","Khoualouang"
"Hadxaifong","khouaydaeng"
"Xaysetha","Khoumhin"
"Sikhottabong","khounta"
"Sikhottabong","Khounta thong"
"Sikhottabong","khountatha"
"Sikhottabong","khountatthong"
"Xaythany","Khoutsambath"
"Chanthabuly","khualouang"
"Hadxaifong","khuaydaeng"
"Xaythany","komxiengthong"
"Xaythany","Koutsamvatk"
"Sangthong","kuay"
"Xaythany","lardkhuay"
"Xaythany","Lardkhuay"
"Sikhottabong","larkhin"
"Xaysetha","latkhuay"
"Xaythany","latkhuay"
"Xaythany","latkhuaytai"
"Sikhottabong","Lukhin"
"Pakngeum district","Maeknao"
"Xaythany","Mai"
"Pakngeum district","makhiao"
"Pakngeum district","maknao"
"Pakngeum district","maknaotai"
"Pakngeum district","Marknaodong"
"Sikhottabong","meuangvatha"
"Chanthabuly","Mixay"
"Chanthabuly","mixay hotel"
"Sikhottabong","mueangkang"
"Xaysetha","mueangnoy"
"Xaysetha","Mueangnoy"
"Xaysetha","mueangnoyxiengda"
"Sikhottabong","mueangvatha"
"Sisattanak","mueangvatha"
"Sikhottabong","Mueangvatong"
"Sikhottabong","Muengvathong"
"Chanthabuly","na"
"Xaythany","na"
"Xaythany","Na"
"Xaysetha","nabian"
"Xaysetha","Nabian"
"Pakngeum district","nabong"
"Xaythany","Nacair"
"Pakngeum district","nafai"
"Pakngeum district","nafaiy"
"Sisattanak","nahae"
"Sikhottabong","Nahae"
"Hadxaifong","nahai"
"Xaysetha","nahai"
"Xaythany","nahai"
"Hadxaifong","Nahai"
"Xaysetha","Nahai"
"Hadxaifong","Nahay"
"Naxaithong","nahoum"
"Naxaithong","Nainondyao"
"Naxaithong","naka"
"Xaysetha","nakhae"
"Xaythany","nakhae"
"Sikhottabong","Nakhae"
"Xaythany","Nakhae"
"Sikhottabong","nakham"
"Sikhottabong","Nakham"
"Xaythany","nakhanthoung"
"Xaythany","nakhao"
"Xaysetha","nakhauy"
"Xaythany","Nakhay"
"Xaythany","nakhoknoy"
"Xaysetha","nakhouaytai"
"Naxaithong","Nakhoun"
"Naxaithong","nakhounnoy"
"Naxaithong","Nakhounnoy"
"Xaysetha","Nakhuaiy"
"Xaysetha","nakhuay"
"Xaysetha","Nakhuay"
"Xaysetha","nakhuay tai"
"Xaysetha","Nakhuay tai"
"Xaysetha","nakhuaykang"
"Xaythany","nakhuaykang"
"Xaysetha","nakhuaytai"
"Xaysetha","Nakhuaytai"
"Naxaithong","Nakoun"
"Xaythany","nakoung"
"Sikhottabong","nalao"
"Sikhottabong","Nalao"
"Pakngeum district","nalerd"
"Naxaithong","nalian"
"Hadxaifong","nalong"
"Xaythany","nalorm"
"Naxaithong","Namkieng"
"Xaythany","namon"
"Naxaithong","namsone"
"Xaysetha","nano"
"Xaythany","Naphasouk"
"Xaythany","Naphork"
"Pakngeum district","nasa"
"Naxaithong","Nasaiytai"
"Naxaithong","nasaiythongtai"
"Naxaithong","Nasaiythongtai"
"Xaythany","nasala"
"Xaythany","Nasala"
"Xaysetha","Nasangphai"
"Xaythany","nasangvery"
"Naxaithong","nasiao"
"Xaythany","nasiao"
"Xaythany","Nasiao"
"Naxaithong","nasiew"
"Naxaithong","Nasiew"
"Naxaithong","nasiw"
"Xaythany","natan"
"Xaythany","nathae"
"Xaythany","Nathae"
"Hadxaifong","natham"
"Pakngeum district","natham"
"Hadxaifong","Natham"
"Hadxaifong","natharm"
"Pakngeum district","natharm"
"Xaythany","nathom"
"Xaythany","Nathom"
"Xaythany","Naun thong"
"Xaysetha","naxay"
"Xaysetha","Naxay"
"Xaythany","naxiao"
"Naxaithong","Naxone"
"Naxaithong","nayang"
"Naxaithong","Nayang"
"Pakngeum district","Nazon"
"Hadxaifong","nognhai"
"Chanthabuly","nognthatai"
"Pakngeum district","non"
"Xaythany","nonborkeo"
"Xaythany","Nonborkeo"
"Pakngeum district","none"
"Sikhottabong","noneborkeo"
"Xaythany","noneborkeo"
"Xaysetha","nonedanga"
"Xaythany","nonedanga"
NA,"nonehai"
"Sikhottabong","nonekeo"
"Xaythany","nonekeo"
"Xaythany","nonekhae"
"Sikhottabong","nonekhilek"
"Xaythany","nonekhilek"
"Xaysetha","nonekhor"
"Xaysetha","nonekhornuea"
"Hadxaifong","nonekhortai"
"Xaysetha","nonekhortai"
"Xaysetha","Nonekhortai"
"Xaythany","nonesaard"
"Xaythany","Nonesaard"
"Xaysetha","nonesagnar"
"Xaysetha","nonesanga"
"Xaysetha","nonesangar"
"Sisattanak","nonesavad"
"Chanthabuly","nonesavan"
"Xaysetha","nonesavan"
"Xaythany","nonesavan"
"Chanthabuly","nonesavang"
"Sikhottabong","nonesavang"
"Sisattanak","nonesavang"
"Xaysetha","nonesavang"
"Xaysetha","Nonesavanh"
"Xaythany","nonesengchan"
"Xaythany","nonesengchanh"
"Xaythany","Nonesengkeo"
"Xaythany","nonetae"
"Xaythany","nonethong"
"Xaysetha","nonevaiy"
"Xaysetha","nonewaiy"
"Xaythany","nonewaiy"
"Sikhottabong","Nongbeuk"
"Xaysetha","nongbone"
"Xaysetha","Nongbone"
"Sikhottabong","nongboua"
"Xaythany","nongboua"
"Xaythany","nongboua temple"
"Chanthabuly","nongbouathong"
"Sikhottabong","nongbouathong"
"Sikhottabong","Nongbouathong"
"Sikhottabong","Nongbouathong-Tai"
"Sikhottabong","nongbouathongnuea"
"Sikhottabong","Nongbouathongnuea"
"Sikhottabong","nongbuathong"
"Sikhottabong","Nongbuathong"
"Sikhottabong","nongbuek"
"Sikhottabong","Nongbuek"
"Sisattanak","nongchan"
"Sisattanak","Nongchan"
"Sikhottabong","nongda"
"Sikhottabong","nongdouang"
"Sisattanak","nongdouang"
"Sikhottabong","Nongdouang"
"Sikhottabong","nongdouangthong"
"Chanthabuly","nongduang"
"Sikhottabong","nongduang"
"Chanthabuly","Nongduang"
"Sikhottabong","Nongduang"
"Sikhottabong","nongduangnuea"
"Sikhottabong","nongduangtai"
"Sikhottabong","Nongduangtai"
"Hadxaifong","nonghaed"
"Hadxaifong","nonghai"
"Hadxaifong","Nonghai"
"Hadxaifong","nongheo"
"Hadxaifong","Nongheo"
"Hadxaifong","nongkeo"
"Xaythany","nongkhae"
"Naxaithong","nongkhankhou"
"Xaythany","nongkheng"
"Pakngeum district","Nongkhiad"
"Chanthabuly","nongniang"
"Sikhottabong","nongniang"
"Xaysetha","nongniang"
"Xaysetha","Nongniang"
"Sikhottabong","nongniao"
"Sikhottabong","nongnieng"
"Xaysetha","nongnieng"
"Xaysetha","Nongnieng"
"Sikhottabong","Nongniew"
"Xaythany","nongno"
"Hadxaifong","Nongpaen"
"Sikhottabong","nongpanai"
"Sikhottabong","Nongpanai"
"Hadxaifong","Nongpanneua"
"Sikhottabong","nongpano"
"Hadxaifong","Nongpantai"
"Xaysetha","nongphaya"
"Xaythany","nongphaya"
"Xaythany","Nongphaya"
"Hadxaifong","nongphong"
"Hadxaifong","Nongphong"
"Pakngeum district","nongphouvieng"
"Chanthabuly","Nongping"
"Naxaithong","nongsa"
"Naxaithong","Nongsah"
"Chanthabuly","nongsangthor"
"Xaysetha","nongsangthor"
"Xaythany","nongsangthor"
"Sikhottabong","nongsanokham"
"Sikhottabong","Nongsanokham"
"Xaysetha","nongsarngthor"
"Xaysetha","Nongsarngthor"
"Xaythany","nongsonghong"
"Xaythany","Nongsonghong"
"Naxaithong","nongtae"
"Sikhottabong","nongtaeng"
"Xaysetha","nongtaeng"
"Sikhottabong","Nongtaeng"
"Sikhottabong","nongtaeng tai"
"Sikhottabong","nongtaengnuea"
"Chanthabuly","nongtha"
"Chanthabuly","Nongtha"
"Chanthabuly","Nongtha Neua"
"Chanthabuly","Nongtha-Nua"
"Chanthabuly","Nongtha-Tai"
"Chanthabuly","Nongthaneau"
"Chanthabuly","nongthanuea"
"Chanthabuly","Nongthatai"
"Hadxaifong","nongvaeng"
"Sikhottabong","nongvaeng"
"Hadxaifong","Nongvaeng"
"Xaysetha","Nongveingkham"
"Xaysetha","nongviengkham"
"Xaythany","nongviengkham"
"Xaythany","Nongviengkham"
"Xaythany","nongviengkham temple"
"Naxaithong","nongyao"
"Sikhottabong","Nonkeo"
"Sikhottabong","nonkhilek"
"Sikhottabong","Nonkhilek"
"Xaysetha","nonkhor"
"Xaysetha","Nonkhor"
"Xaysetha","Nonkhortai"
"Sikhottabong","Nonkhylek"
"Sikhottabong","nonkoe"
"Xaythany","nonsaad"
"Xaythany","Nonsaad"
"Xaythany","Nonsaard"
"Chanthabuly","Nonsaart"
"Xaythany","nonsaengchan"
